dutch_name;color;behavior;shape;habitat;when_to_spot;rarity;characteristics;image_credit;image_author_reference;image_wikimedia_source;image_license;image_license_url
groene specht;11&14;6;;1&2&4&7;Gehele jaar;;;Andrei Stroe;https://commons.wikimedia.org/wiki/User:Andrei_Stroe;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
groenling;7&10;;;1&2&7;Gehele jaar;1;;Andreas Trepte;http://photo-natur.de/;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
groenpootruiter;13;7&8;;8;Winterhalfjaar;;;Charles J. Sharp;www.sharpphotography.co.uk;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
grote barmsijs;11;;;1;Winterhalfjaar;;;Jyrki Salmi;https://www.flickr.com/people/47089990@N02;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
grote bonte specht;3&11;6;9;1&3;Gehele jaar;1;;Usitea;;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
grote burgemeester;;;;10;Winterhalfjaar;;;Tokum Ohsaka;;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
grote canadese gans;;;7;;Gehele jaar;;;Serbish;;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
grote gele kwikstaart;10;3;11;6;Gehele jaar;;;Laitche;https://commons.wikimedia.org/wiki/User:Laitche;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
grote jager;;;;10;Winterhalfjaar;;;;https://www.flickr.com/people/29174969@N00;;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/
grote karekiet;;;;5;Zomerhalfjaar;;;Andreas Trepte;http://photo-natur.de/;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
grote lijster;5;;;1;Gehele jaar;;;Keven Law;https://www.flickr.com/people/66164549@N00;;CC BY-SA 2.0;https://creativecommons.org/licenses/by-sa/2.0/
grote mantelmeeuw;3;;4;;Gehele jaar;1;;Andreas Trepte;http://photo-natur.de/;;CC BY-SA 2.5;https://creativecommons.org/licenses/by-sa/2.5/
grote stern;;4;10;9;Zomerhalfjaar;;;MPF;https://commons.wikimedia.org/wiki/User:MPF;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
grote zaagbek;;5;6&9;6;Winterhalfjaar;;;Bengt Nyman;https://www.flickr.com/people/97469566@N00;;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/
grote zee-eend;;;;10;Winterhalfjaar;;;;https://www.flickr.com/photos/93892629@N07/;https://nl.wikipedia.org/wiki/Bestand:Melanitta_fusca_1.jpg;CC BY 2.0;https://creativecommons.org/licenses/by/2.0/
grote zilverreiger;1;9;;4&6;Gehele jaar;;;Googie Man;https://en.wikipedia.org/wiki/User:Googie_man;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
grutto;12;7&8;9;4;Zomerhalfjaar;;;Hans Hillewaert;;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
halsbandparkiet;7;;11;1&2;Gehele jaar;;;;;;;
havik;;;2;3;Gehele jaar;;;;;;;
heggenmus;4;;;1;Gehele jaar;;;;;;;
holenduif;12;;3;;Gehele jaar;;;;;;;
hop;8;;9&10;;Gehele jaar;4;;;;;;
houtduif;12;;3;2;Gehele jaar;1;;;;;;
houtsnip;5;10;;3;Gehele jaar;;;;;;;
huismus;4;;;1&2;Gehele jaar;1;;;;;;
huiszwaluw;9&13;1;;2;Zomerhalfjaar;;;;;;;
ijsduiker;;;;10;Winterhalfjaar;;;;;;;
ijseend;;5;6&11;;Winterhalfjaar;4;;;;;;
ijsgors;;;;9;Winterhalfjaar;;;;;;;
ijsvogel;8&12;4;;2&6;Gehele jaar;2;;;;;;
indische gans;;;7;;Gehele jaar;;;;;;;
jan-van-gent;;4;;10;Najaar;4;;;;;;
kanoet;12;8;;8;Gehele jaar;;;;;;;
kauw;2;;5;2;Gehele jaar;1;;;;;;
keep;12&13;;;2;Winterhalfjaar;;;;;;;
kemphaan;;7&8;10;4&8;Gehele jaar;;;;;;;
kerkuil;;;1;4;Gehele jaar;;;;;;;
kievit;3&11;7&8;9&10;4;Gehele jaar;1;;;;;;
klapekster;9&14;1;11;3;Winterhalfjaar;;;;;;;
kleine alk;;;;10;Winterhalfjaar;;;;;;;
kleine bonte specht;3&11;6&10;;3;Gehele jaar;;;;;;;
kleine burgemeester;;;;10;Winterhalfjaar;;;;;;;
kleine jager;;;;10;Winterhalfjaar;;;;;;;
kleine karekiet;;;;5;Zomerhalfjaar;1;;;;;;
kleine mantelmeeuw;3;;4;2&7;Gehele jaar;1;;;;;;
kleine plevier;;7;;;Zomerhalfjaar;;;;;;;
kleine rietgans;;;7;;Winterhalfjaar;;;;;;;
kleine strandloper;;7&8;;8;Voor- en najaar;;;;;;;
kleine zilverreiger;1;9;10;;Gehele jaar;;;Shantanu Kuveskar;https://commons.wikimedia.org/wiki/User:Shantanu_Kuveskar;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
kleine zwaan;1;;8;4&6;Winterhalfjaar;;;;;;;
kleinst waterhoen;;10;;;Zomerhalfjaar;;;;;;;
kleinste jager;;;;10;Winterhalfjaar;;;;;;;
kluut;3;7&8;9;8;Gehele jaar;;;;;;;
kneu;12;;;7;Gehele jaar;;;;;;;
knobbelzwaan;1;;8;2&4;Gehele jaar;1;;Yerpo;https://commons.wikimedia.org/wiki/User:Yerpo;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
koekoek;9;;2&11;5&7;Zomerhalfjaar;;;;;;;
koereiger;;9;;;Gehele jaar;4;;;;;;
